,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,芝,ダ,1,不,稍,良,重,17,18,19,20,21,22,23,24,25,26,27,28
41,2005/10/01,4阪神7,晴,11,ポートアイランドS(OP),200509040711,,13,7,10,3.1,1,8,安藤勝己,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:35.0,1.1,,12-11-9,34.2-35.5,35.7,482(-4),,,タニノマティーニ,
42,2005/09/11,4中山2,雨,11,京成杯オータムH(G3),200506040211,,13,6,9,8.4,5,8,安藤勝己,54,1.0,0.0,1600,0.0,1.0,0.0,0.0,,1:33.7,0.4,,12-13-13,34.4-36.1,34.4,486(+12),,,マイネルモルゲン,
43,2005/05/08,2東京6,曇,11,NHKマイルC(G1),200505020611,,18,6,11,6.9,3,12,内田博幸,57,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:35.2,1.6,,15-15,35.5-34.2,34.3,474(0),,,ラインクラフト,
44,2005/04/09,3中山5,晴,11,ニュージーランドT(G2),200506030511,,16,4,8,5.0,2,1,内田博幸,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:33.4,-0.2,,15-15-15,34.4-35.8,34.4,474(+6),,,(イヤダイヤダ),"5,520.4"
45,2005/03/19,1阪神7,晴,11,若葉S(OP),200509010711,,14,3,3,6.3,3,8,安藤勝己,56,1.0,0.0,2000,0.0,0.0,1.0,0.0,,2:01.2,0.9,,12-12-12-12,35.9-36.0,35.4,468(0),,,アドマイヤフジ,
46,2005/01/10,1京都4,晴,11,日刊スポシンザン記念(G3),200508010411,,13,4,4,8.3,3,2,安藤勝己,56,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:35.7,0.0,,11-7,36.0-35.0,34.1,468(0),,,ペールギュント,"1,615.0"
47,2004/12/12,5中山4,曇,11,朝日杯FS(G1),200406050411,,16,6,12,14.1,7,4,武豊,55,1.0,0.0,1600,0.0,0.0,1.0,0.0,,1:33.8,0.4,,14-16-15,34.0-36.0,34.8,468(0),,,マイネルレコルト,900.0
48,2004/11/20,5東京5,晴,11,東京スポーツ杯2歳S(G3),200405050511,,13,7,11,40.6,10,5,木幡初広,55,1.0,0.0,1800,0.0,1.0,0.0,0.0,,1:48.6,0.4,,11-11-11,35.5-35.0,34.6,468(+2),,,スムースバリトン,320.0
49,2004/11/06,5京都1,晴,6,2歳500万下,200408050106,,11,2,2,5.8,2,1,武豊,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:23.2,-0.1,,10-9,36.4-34.8,33.8,466(+10),,,(エネルマオー),700.0
50,2004/08/08,2函館8,晴,9,函館2歳S(G3),200402020809,,16,2,3,116.4,13,6,宮崎光行,54,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:11.0,0.6,,12-5,34.3-36.1,36.0,456(-2),,,アンブロワーズ,
51,2004/07/25,2函館4,晴,1,2歳未勝利,200402020401,,7,2,2,3.8,3,1,武豊,54,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:11.3,-0.3,,5-4,34.4-36.9,35.7,458(+2),,,(コスモスウィート),500.0
52,2004/07/03,1函館5,晴,1,2歳未勝利,200402010501,,9,8,9,6.1,3,4,藤岡佑介,51,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:11.7,0.4,,4-4,35.2-36.1,36.1,456(-2),,,エイシンイーデン,75.0
53,2004/06/27,1函館4,晴,5,2歳新馬,200402010405,,10,4,4,4.2,2,3,藤岡佑介,51,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:12.7,0.4,,4-7,35.4-36.9,36.9,458(0),,,シャドウネイル,180.0
