,0,1,2,3,4,5,6,7,8,9,10,11,12,13,ダ,芝,1,不,稍,良,重,16,17,18,19,20,21,22,23,24,25,26,27
10,2007/09/16,4阪神3,曇,7,3歳上500万下,,16,2,4,74.6,11,10,松岡正海,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:26.4,1.2,**,16-15,34.7-38.2,37.9,496(-10),,,ラフィナール,
11,2007/08/04,2新潟7,曇,9,三国特別(500万下),,15,6,11,127.4,14,15,吉田豊,57,1.0,0.0,1800,0.0,0.0,1.0,0.0,**,1:58.1,3.4,**,10-10-11-12,37.6-38.7,41.0,506(+14),,,マルブツセンター,
12,2007/07/07,3阪神7,曇,12,3歳上500万下,,16,5,10,36.3,8,12,上村洋行,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:27.4,2.1,**,14-11,33.8-39.6,39.5,492(+2),,,トップアーチ,
13,2006/12/09,4中京3,小雨,9,3歳上500万下,,14,2,2,19.6,6,9,飯田祐史,57,1.0,0.0,1700,0.0,1.0,0.0,0.0,**,1:48.4,2.0,**,14-14-13-13,29.7-38.4,38.8,490(0),,,トラベルシチー,
14,2006/11/04,6京都1,晴,8,3歳上500万下,,16,8,15,68.1,12,9,太宰啓介,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:25.5,0.8,**,16-15,34.6-37.8,36.6,490(0),,,ピサノアルハンブラ,
15,2006/10/08,4東京2,晴,8,3歳上500万下,,15,1,1,26.2,6,12,長谷川浩,57,1.0,0.0,1400,0.0,0.0,1.0,0.0,**,1:27.1,1.3,**,15-13,34.9-38.6,37.9,490(-4),,,アンジェロファニー,
16,2006/05/28,2中京4,晴,7,4歳上500万下,,16,3,6,12.6,6,6,太宰啓介,57,1.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:47.2,1.2,**,16-16-13-11,29.1-39.2,38.6,494(-6),,,デュヴァル,
17,2006/05/06,1新潟3,晴,12,高田城特別(500万下),,15,6,11,36.0,8,4,高橋亮,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:13.1,0.8,**,14-12,35.0-37.3,36.8,500(+6),,,ゴッドヘイロー,160.0
18,2006/03/26,1中京8,晴,8,4歳上500万下,,15,4,7,7.3,4,6,太宰啓介,57,1.0,0.0,1700,0.0,0.0,1.0,0.0,**,1:48.3,0.5,**,15-15-15-15,30.1-37.8,36.8,494(0),,,セフティーローレル,
19,2006/03/18,1中京5,曇,7,4歳上500万下,,15,3,6,6.7,3,3,太宰啓介,57,1.0,0.0,1700,0.0,1.0,0.0,0.0,**,1:46.7,0.6,**,15-15-1-1,30.1-37.1,37.7,494(-2),,,ブルルイ,190.0
20,2006/03/04,1阪神3,晴,8,4歳上500万下,,16,1,2,35.7,7,6,高橋亮,57,1.0,0.0,1400,0.0,1.0,0.0,0.0,**,1:26.3,0.8,**,15-12,34.9-38.4,37.4,496(+2),,,シルクヴェルリッツ,
21,2006/01/21,1京都7,曇,8,4歳上500万下,,15,4,7,13.6,7,8,太宰啓介,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,**,1:12.7,0.6,**,15-15,34.4-37.7,35.3,494(-10),,,ポイントセブン,
22,2005/12/24,3中京7,晴,5,3歳上500万下,,16,6,11,4.2,2,13,太宰啓介,57,1.0,0.0,1700,1.0,0.0,0.0,0.0,**,1:48.0,3.0,**,16-16-12-11,29.2-37.2,39.3,504(+4),,,ブルーフランカー,
23,2005/12/10,3中京3,晴,7,3歳上500万下,,16,3,6,4.8,2,2,太宰啓介,57,1.0,0.0,1700,0.0,0.0,1.0,0.0,,1:48.4,0.5,,15-15-13-10,29.5-39.3,38.2,500(-4),,,ゲンキナシャチョウ,300.0
24,2005/11/26,5京都7,晴,9,3歳上500万下,,16,3,5,13.2,4,10,太宰啓介,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:12.7,1.1,,13-11,35.0-36.6,35.9,504(+14),,,スズカデヒア,
25,2005/03/19,1阪神7,晴,12,4歳上1000万下,,11,6,6,14.1,5,3,太宰啓介,57,1.0,0.0,1200,0.0,0.0,0.0,1.0,,1:12.0,0.4,,10-10,34.8-36.8,35.5,490(-2),,,ビッグシャーク,260.0
26,2005/02/27,1阪神2,晴,8,4歳上1000万下,,15,2,2,50.7,8,5,太宰啓介,57,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:12.8,1.4,,14-15,34.7-36.7,36.2,492(-2),,,サンライズビート,105.0
27,2005/01/30,2京都2,晴,12,4歳上1000万下,,15,6,10,25.6,8,7,太宰啓介,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:25.1,0.6,,10-11,34.9-37.5,37.0,494(-2),,,ヤマノサンデーズ,
28,2005/01/10,1京都4,晴,12,4歳上1000万下,,16,1,1,19.6,9,7,太宰啓介,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:25.2,1.0,,8-8,35.6-36.4,36.1,496(-2),,,アグネスギンガ,
29,2004/12/19,5阪神6,曇,12,3歳上1000万下,,14,8,14,14.1,5,7,渡辺薫彦,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:12.6,0.5,,12-10,35.2-36.9,36.5,498(+2),,,マサアンビション,
30,2004/11/14,5京都4,曇,12,ドンカスターC(1000万下),,16,8,15,28.6,7,7,幸英明,56,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:24.0,1.1,,12-11,34.5-36.8,35.8,496(-4),,,サミーミラクル,
31,2004/10/30,4京都7,雨,12,3歳上1000万下,,16,4,7,13.4,5,4,太宰啓介,55,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:11.5,0.9,,15-12,34.0-36.6,36.3,500(+4),,,テイエムアクション,160.0
32,2004/10/10,4京都2,晴,12,3歳上1000万下,,12,7,10,10.2,3,5,太宰啓介,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:24.1,0.7,,5-5,34.7-36.7,37.0,496(-2),,,オーガストバイオ,105.0
33,2004/09/19,4阪神3,晴,10,秋分特別(1000万下),,12,8,12,29.2,9,10,太宰啓介,55,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:24.4,1.0,,6-3,34.2-37.1,37.6,498(+10),,,メイショウセブン,
34,2004/05/09,2東京6,雨,11,NHKマイルC(G1),,18,2,3,168.0,18,18,太宰啓介,57,0.0,1.0,1600,0.0,0.0,1.0,0.0,,1:35.4,2.9,,15-14,33.9-34.7,36.5,488(0),,,キングカメハメハ,
35,2004/04/04,2阪神4,曇,10,マーガレットS(OP),,16,4,7,108.1,15,10,太宰啓介,56,0.0,1.0,1400,0.0,1.0,0.0,0.0,,1:22.6,0.6,,15-14,34.2-36.5,35.5,488(0),,,シゲルドントイケ,
36,2004/02/21,1東京7,晴,7,3歳500万下,,16,1,2,2.4,1,1,太宰啓介,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:25.7,-0.4,,9-9,35.3-38.2,37.2,488(-6),,,(ナムラハトル),700.0
37,2004/02/01,2京都2,晴,7,3歳500万下,,11,1,1,3.9,2,5,太宰啓介,56,1.0,0.0,1400,0.0,0.0,1.0,0.0,,1:26.9,1.8,,10-9,34.6-38.1,38.2,494(0),,,アントニオマグナム,70.0
38,2004/01/17,1中山5,曇,9,朱竹賞(500万下),,16,4,8,3.6,2,3,太宰啓介,56,1.0,0.0,1200,0.0,0.0,1.0,0.0,,1:13.2,0.2,,5-6,34.2-38.8,38.3,494(+2),,,エーピーソブリン,255.3
39,2003/12/14,5阪神4,晴,1,2歳未勝利,,15,5,8,2.8,1,1,太宰啓介,55,1.0,0.0,1400,0.0,1.0,0.0,0.0,,1:25.6,-0.7,,4-2,34.9-38.4,38.1,492(-8),,,(ホウシュウムサシ),500.0
40,2003/11/23,5京都6,晴,3,2歳新馬,,15,2,4,3.2,2,2,太宰啓介,55,1.0,0.0,1200,0.0,1.0,0.0,0.0,,1:15.6,1.2,,5-3,35.5-38.9,39.7,500(0),,,ハリアーズリベンジ,280.0
